id,name,host_id,host_name,hosts_time_as_user_years,hosts_time_as_host_years,review_scores_rating,estimated_occupancy_l365d,price,minimum_nights,maximum_nights,number_of_reviews_ltm,reviews_per_month,estimated_revenue_l365d,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,num_amenities,bedrooms,beds,bathrooms,availability_365,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,host_is_superhost,host_has_profile_pic,host_identity_verified
27841,Rosales Luxury Large 2BR Boutique Apt,113734,Marcela,16,15.0,4.87,112,284294.01,28.0,1000.0,2,0.24,31840929.0,Chapinero,4.65758,-74.05326,Entire Serviced Apartment,Entire Home/Apt,4,51,2.0,3.0,0.0,82,4.84,4.91,4.93,4.81,4.93,4.81,True,True,True
65762,Apartaestudios La Candelaria,321447,Teresa,15,15.0,4.75,0,215000.0,1.0,1125.0,0,0.19,0.0,Candelaria,4.59485,-74.07189,Entire Loft,Entire Home/Apt,3,33,1.0,1.0,1.0,236,4.67,4.81,4.91,4.73,4.79,4.7,True,True,True
138660,Excelent Studio ROSALES/ ZONA G,676823,Carlos,15,15.0,4.43,0,99196.1,30.0,888.0,0,0.14,0.0,Chapinero,4.64844,-74.05527,Entire Rental Unit,Entire Home/Apt,4,16,2.0,2.0,1.0,303,4.68,4.14,4.77,4.77,4.91,4.41,False,True,True
178850,"MODERN APARTMENT, 3 ROOMS, 4 PAX",498646,Irma,15,15.0,5.0,0,179910.67,30.0,1125.0,0,0.03,0.0,Usaquen,4.74382,-74.03074,Entire Rental Unit,Entire Home/Apt,4,31,3.0,3.0,2.0,353,5.0,5.0,5.0,5.0,4.67,5.0,False,True,True
289669,Room near to everything you need in Bogotá!,1503758,Daniel,14,14.0,4.5,8,82260.75,4.0,1125.0,1,0.01,658086.0,Teusaquillo,4.625375219020577,-74.07779958,Private Room In Home,Private Room,2,31,1.0,1.0,1.0,222,3.5,4.5,5.0,5.0,4.5,4.0,True,True,True
381043,Habitación Privada Cerca Av. Dorado con Av. Cali,1911347,Fernando,14,2.0,4.67,0,66234.0,1.0,365.0,0,0.11,0.0,Engativa,4.694132199999999,-74.1205894,Private Room In Home,Private Room,2,14,1.0,1.0,1.0,89,4.67,4.33,5.0,5.0,4.67,5.0,False,True,True
124029,Exclusive Loft in 93 park w Gym,619048,Jaime,15,15.0,4.66,0,273876.77,10.0,1125.0,0,0.29,0.0,Chapinero,4.679779,-74.055817,Entire Serviced Apartment,Entire Home/Apt,2,36,1.0,1.0,2.0,318,4.74,4.64,4.7,4.68,4.66,4.46,False,True,True
130427,Feel like home @ nice & new loft,642197,Jaime,15,14.0,5.0,0,276936.7,30.0,730.0,0,0.01,0.0,Suba,4.69506,-74.06165,Entire Rental Unit,Entire Home/Apt,5,10,1.0,3.0,0.0,365,5.0,4.5,5.0,5.0,4.5,5.0,False,True,True
142658,"Amazing view and location, Bogotá!",1113082,Ximena,14,14.0,4.89,0,184316.52,30.0,365.0,0,0.05,0.0,Santa Fe,4.61866,-74.06937,Entire Rental Unit,Entire Home/Apt,2,16,1.0,1.0,1.5,87,5.0,5.0,5.0,5.0,4.56,4.89,False,True,True
152126,The Place to BE,732125,Andy,15,14.0,,0,128355.78,30.0,730.0,0,0.0,0.0,Suba,4.70764,-74.05673,Private Room In Rental Unit,Private Room,4,5,0.0,2.0,2.0,365,,,,,,,False,True,True
162316,ROOM IN LUXURIOUS DUPLEX APARTMENT,775844,Victoria,14,14.0,4.65,24,102706.0,3.0,1125.0,4,0.29,2464944.0,Barrios Unidos,4.68407,-74.05811,Private Room In Loft,Private Room,1,21,1.0,1.0,1.0,365,4.7,4.81,4.53,4.83,4.91,4.62,False,True,True
207283,L MODERNO APARTAESTUDIO LOFT CHAPINERO,1019554,Yaqueline,14,14.0,4.61,0,135801.0,1.0,1125.0,0,0.4,0.0,Chapinero,4.641931056976318,-74.06401062,Entire Serviced Apartment,Entire Home/Apt,2,29,1.0,1.0,1.0,364,4.46,4.72,4.81,4.7,4.54,4.6,True,True,True
210785,Confortable bedroom Private  Room in Bogota No. 1,1017332,Edgar HernÃ¡n,14,14.0,5.0,0,164521.5,2.0,60.0,0,0.04,0.0,Fontibon,4.65429,-74.11366,Private Room In Condo,Private Room,2,15,3.0,5.0,1.0,206,5.0,5.0,5.0,5.0,5.0,5.0,False,True,True
